county,2016,2017,2018,2019,2020,2021
"Otero County, Colorado",14066,13995,14036,13872,13903,14243
"Ouray County, Colorado",4019,3968,4032,4033,4171,4111
"Park County, Colorado",13700,14089,14383,15085,15513,14695
"Phillips County, Colorado",3320,3249,3209,3147,3162,3228
"Pitkin County, Colorado",14695,14867,15035,15044,15028,14532
"Prowers County, Colorado",9001,9007,9021,8951,8972,8901
"Pueblo County, Colorado",124290,125655,126983,128353,129827,129675
"Rio Blanco County, Colorado",5035,4967,4802,4837,4853,4888
"Rio Grande County, Colorado",8837,8719,8692,8694,8724,8900
"Routt County, Colorado",19392,19753,20248,20473,20825,20530
"Saguache County, Colorado",4814,4935,5056,5155,5273,5104
"San Juan County, Colorado",496,475,475,513,527,595
"San Miguel County, Colorado",6275,6355,6507,6604,6719,6721
"Sedgwick County, Colorado",1892,1840,1811,1738,1697,1864
"Summit County, Colorado",24393,24921,25398,25672,25623,25990
"Teller County, Colorado",19116,19399,19745,20201,20687,20467
"Washington County, Colorado",3752,3716,3732,3757,3799,3753
"Weld County, Colorado",203304,209263,216533,224943,233155,238248
"Yuma County, Colorado",7404,7389,7368,7340,7354,7217
"Fairfield County, Connecticut",719612,727693,727441,729424,732162,741518
"Hartford County, Connecticut",701114,705087,704159,704384,704709,708888
"Litchfield County, Connecticut",149063,149240,148637,148312,148218,151538
"Middlesex County, Connecticut",132799,133237,133273,133740,134000,135690
"New Haven County, Connecticut",679189,682868,682414,682679,682716,689256
"New London County, Connecticut",216790,216620,215672,214989,214861,216527
"Tolland County, Connecticut",123540,124092,124264,124488,124772,124033
"Windham County, Connecticut",92811,92909,93019,93225,93527,93389
"Kent County, Delaware",130984,132594,134211,135938,137999,138504
"New Castle County, Delaware",429598,433046,433949,435516,438060,445153
"Sussex County, Delaware",169921,174039,177909,182110,187413,190590
"District of Columbia, District of Columbia",544324,554333,562761,568753,575926,558132
"Alachua County, Florida",210382,213109,215778,217701,219921,225995
"Baker County, Florida",20614,20814,21092,21478,21996,21353
"Bay County, Florida",139876,141213,143076,143212,142019,143083
"Bradford County, Florida",21575,21310,21489,21899,22316,22432
"Brevard County, Florida",455484,462200,469997,477754,485337,490744
"Broward County, Florida",1461232,1483776,1500346,1516025,1531286,1523466
"Calhoun County, Florida",11471,11325,11357,11460,11446,11091
