county,2016,2017,2018,2019,2020,2021
"Cuming County, Nebraska",6840,6824,6775,6750,6714,6783
"Custer County, Nebraska",8263,8315,8288,8275,8210,8045
"Dakota County, Nebraska",14669,14572,14438,14306,14283,15042
"Dawes County, Nebraska",7426,7337,7286,7234,7101,6816
"Dawson County, Nebraska",17286,17306,17260,17235,17167,17436
"Deuel County, Nebraska",1558,1530,1508,1472,1431,1510
"Dixon County, Nebraska",4348,4313,4297,4292,4244,4212
"Dodge County, Nebraska",28097,27934,27925,27878,27714,28092
"Douglas County, Nebraska",402665,407821,411948,416343,420822,430015
"Dundy County, Nebraska",1456,1521,1478,1455,1463,1438
"Fillmore County, Nebraska",4495,4455,4455,4432,4434,4431
"Franklin County, Nebraska",2484,2438,2436,2430,2417,2330
"Frontier County, Nebraska",2064,2089,2091,2122,2113,2012
"Furnas County, Nebraska",3738,3716,3723,3689,3665,3595
"Gage County, Nebraska",16929,16841,16799,16711,16652,16778
"Garden County, Nebraska",1554,1554,1485,1489,1502,1369
"Garfield County, Nebraska",1564,1572,1570,1604,1630,1479
"Gosper County, Nebraska",1550,1621,1627,1661,1628,1472
"Grant County, Nebraska",518,526,558,550,525,529
"Greeley County, Nebraska",1859,1852,1838,1822,1824,1700
"Hall County, Nebraska",44534,44601,44614,44464,44484,45293
"Hamilton County, Nebraska",6892,6930,6964,7031,7038,7135
"Harlan County, Nebraska",2684,2696,2663,2588,2623,2446
"Hayes County, Nebraska",817,764,738,703,700,671
"Hitchcock County, Nebraska",2244,2219,2201,2171,2110,1973
"Holt County, Nebraska",7880,7847,7764,7697,7631,7638
"Hooker County, Nebraska",569,578,580,578,594,554
"Howard County, Nebraska",4859,4834,4863,4864,4864,4867
"Jefferson County, Nebraska",5760,5711,5593,5580,5602,5626
"Johnson County, Nebraska",4181,4222,4222,4200,4156,4258
"Kearney County, Nebraska",4961,4930,4929,4893,4919,4911
"Keith County, Nebraska",6424,6501,6488,6444,6423,6550
"Keya Paha County, Nebraska",588,575,614,561,668,713
"Kimball County, Nebraska",2866,2837,2840,2852,2897,2842
"Knox County, Nebraska",6462,6446,6426,6392,6372,6333
"Lancaster County, Nebraska",232093,235827,238834,241484,243975,247044
"Lincoln County, Nebraska",27092,27021,26890,26909,26687,26556
"Logan County, Nebraska",610,655,627,671,640,610
"Loup County, Nebraska",437,433,497,512,560,508
"McPherson County, Nebraska",332,335,350,334,371,395
"Madison County, Nebraska",26320,26350,26347,26264,26161,26443
"Merrick County, Nebraska",6017,6064,6075,6061,6092,5953
"Morrill County, Nebraska",3668,3728,3674,3648,3608,3503
"Nance County, Nebraska",2790,2754,2742,2761,2746,2581
"Nemaha County, Nebraska",5623,5564,5536,5507,5494,5515
"Nuckolls County, Nebraska",3472,3457,3406,3357,3349,3279
"Otoe County, Nebraska",12104,12076,12069,12122,12105,12025
"Pawnee County, Nebraska",2133,2143,2121,2096,2070,1984
"Perkins County, Nebraska",2230,2214,2191,2181,2172,2155
"Phelps County, Nebraska",6970,6941,6953,6946,6889,6788
"Pierce County, Nebraska",5403,5394,5378,5354,5381,5403
"Platte County, Nebraska",24144,24322,24479,24475,24549,25117
"Polk County, Nebraska",4026,4026,4039,4026,4027,4026
"Red Willow County, Nebraska",8355,8369,8333,8311,8170,8151
"Richardson County, Nebraska",6436,6361,6320,6260,6234,6221
"Rock County, Nebraska",1180,1151,1124,1148,1120,1027
"Saline County, Nebraska",10916,10820,10645,10728,10728,10683
"Sarpy County, Nebraska",123935,126169,128791,131250,133629,136887
"Saunders County, Nebraska",15681,15712,15784,16018,16181,16541
"Scotts Bluff County, Nebraska",27531,27430,27229,27101,26970,27144
"Seward County, Nebraska",13098,13032,13107,13166,13209,13463
"Sheridan County, Nebraska",4044,4069,4049,4068,4048,3997
"Sherman County, Nebraska",2423,2401,2419,2404,2406,2364
"Sioux County, Nebraska",1014,1005,1003,965,987,836
"Stanton County, Nebraska",4449,4451,4471,4460,4453,4386
"Thayer County, Nebraska",4075,4036,3966,3904,3869,3843
"Thomas County, Nebraska",517,511,515,518,460,467
"Thurston County, Nebraska",4498,4540,4585,4601,4634,4322
"Valley County, Nebraska",3296,3332,3271,3268,3205,3133
"Washington County, Nebraska",15432,15496,15292,15358,15529,15700
"Wayne County, Nebraska",7588,7573,7531,7451,7547,7668
"Webster County, Nebraska",2841,2779,2754,2731,2726,2671
"Wheeler County, Nebraska",659,692,672,626,598,612
"York County, Nebraska",10687,10700,10613,10583,10503,10838
"Churchill County, Nevada",18529,18436,18531,18723,19020,19459
"Clark County, Nevada",1576172,1612686,1637220,1671551,1712170,1713530
"Douglas County, Nevada",38783,39087,39493,39961,40502,41151
"Elko County, Nevada",37498,37878,37863,37965,38426,39050
"Esmeralda County, Nevada",857,900,785,808,892,885
"Eureka County, Nevada",1380,1322,1394,1431,1328,1097
"Humboldt County, Nevada",12293,12411,12260,12267,12379,12634
"Lander County, Nevada",4218,4274,4068,4122,4063,4251
"Lincoln County, Nevada",4100,4222,4317,4245,4194,3688
"Lyon County, Nevada",40235,40734,41570,42614,43871,45749
"Mineral County, Nevada",3691,3551,3679,3633,3785,3671
"Nye County, Nevada",35582,35904,36248,36784,37792,41662
"Pershing County, Nevada",5525,5534,5515,5505,5490,5551
"Storey County, Nevada",3408,3428,3344,3273,3407,3364
"Washoe County, Nevada",341322,346474,351134,357214,363743,375939
"White Pine County, Nevada",7797,7808,7732,7690,7742,7484
"Carson City, Nevada",43150,43074,43220,43554,43964,46043
"Belknap County, New Hampshire",48770,48817,49143,49488,49897,51723
"Carroll County, New Hampshire",39439,39646,40059,40372,40927,42143
"Cheshire County, New Hampshire",62183,62189,62441,62353,62442,62630
"Coos County, New Hampshire",26876,26751,26704,26495,26367,26326
"Grafton County, New Hampshire",73942,74185,74857,75064,75777,76305
"Hillsborough County, New Hampshire",317016,319684,324765,327471,330331,334681
"Merrimack County, New Hampshire",118099,118669,120166,120868,122026,123758
"Rockingham County, New Hampshire",238203,241198,244204,246157,248439,252291
"Strafford County, New Hampshire",101440,102189,103890,104952,106190,106617
"Sullivan County, New Hampshire",34556,34663,34830,34940,35117,35086
"Atlantic County, New Jersey",213371,213204,210361,209020,208390,215545
"Bergen County, New Jersey",727817,735904,730591,732136,733791,749837
"Burlington County, New Jersey",352493,352972,351412,351833,353260,363832
"Camden County, New Jersey",392067,392856,390730,390880,391315,401882
"Cape May County, New Jersey",78283,77684,77092,76695,76446,78679
"Cumberland County, New Jersey",118718,118132,116897,115733,114047,117366
"Essex County, New Jersey",601643,609241,604584,606038,608670,648678
"Gloucester County, New Jersey",224289,225216,225730,226759,227913,234916
"Hudson County, New Jersey",530879,540877,530973,532464,534558,566884
"Hunterdon County, New Jersey",99269,99853,99812,100018,100908,103969
"Mercer County, New Jersey",290419,292953,289590,289218,289586,302290
"Middlesex County, New Jersey",647781,653712,645561,645442,645379,670903
"Monmouth County, New Jersey",487677,489700,488051,488518,489232,505924
"Morris County, New Jersey",387106,389293,387164,387834,388599,400996
"Ocean County, New Jersey",448240,450541,451408,453916,457058,475570
"Passaic County, New Jersey",383795,387391,383020,383156,382872,396153
"Salem County, New Jersey",50132,49694,49531,49345,49260,50693
"Somerset County, New Jersey",254595,257172,255592,256548,257804,268807
"Sussex County, New Jersey",113616,113376,113060,113045,113166,115997
"Union County, New Jersey",419254,425876,422703,423700,424832,436808
"Warren County, New Jersey",84199,84693,84581,84684,84879,87853
"Bernalillo County, New Mexico",520076,521922,526113,528299,531331,528737
"Catron County, New Mexico",2991,3024,3071,2986,3037,3118
"Chaves County, New Mexico",47827,47757,47878,47705,47790,47971
"Cibola County, New Mexico",20707,20530,20540,20521,20501,20895
"Colfax County, New Mexico",10330,10178,10042,9924,9912,10125
"Curry County, New Mexico",36943,36782,36788,36526,36423,35773
"De Baca County, New Mexico",1640,1530,1512,1343,1144,1148
"Doña Ana County, New Mexico",159047,159573,161382,162455,164232,164674
"Eddy County, New Mexico",41601,41841,42240,42410,42568,44730
"Grant County, New Mexico",22831,22427,22187,22091,21998,22630
"Guadalupe County, New Mexico",3559,3602,3608,3522,3578,3615
"Harding County, New Mexico",471,445,389,380,373,464
"Hidalgo County, New Mexico",3480,3422,3370,3348,3304,3286
"Lea County, New Mexico",48129,48574,48961,49136,49143,50632
"Lincoln County, New Mexico",16106,15896,15869,15880,16175,16573
"Los Alamos County, New Mexico",13713,13871,14188,14379,14688,14932
"Luna County, New Mexico",18079,17888,17879,17721,17707,18456
"McKinley County, New Mexico",51705,51256,51483,51456,51288,52020
"Mora County, New Mexico",3678,3764,3711,4010,3910,3745
"Otero County, New Mexico",49753,49678,50305,50691,51360,51706
"Quay County, New Mexico",6721,6578,6515,6438,6386,6700
"Rio Arriba County, New Mexico",30258,30014,29989,29948,29965,30993
"Roosevelt County, New Mexico",14699,14562,14389,14282,14221,14532
"Sandoval County, New Mexico",103938,105138,107106,109069,111263,113243
"San Juan County, New Mexico",89400,92964,92752,92485,92293,90415
"San Miguel County, New Mexico",22554,22517,22383,22457,22461,22382
"Santa Fe County, New Mexico",118578,119200,120910,121803,123263,126303
"Sierra County, New Mexico",9669,9431,9339,9288,9267,9679
"Socorro County, New Mexico",12801,13112,13077,13015,12947,12854
"Taos County, New Mexico",26674,26640,26835,26871,26981,28313
"Torrance County, New Mexico",12268,12285,12302,12243,12175,11927
"Union County, New Mexico",3436,3354,3385,3297,3272,3272
"Valencia County, New Mexico",57257,57346,57772,57999,58611,58197
"Albany County, New York",249360,250422,250030,250068,249690,256568
"Allegany County, New York",37942,37708,37439,37247,37088,37126
"Bronx County, New York",1069354,1088685,1076792,1076664,1072375,1102318
"Broome County, New York",158536,157630,156441,155560,154863,159814
"Cattaraugus County, New York",60628,60508,60246,59937,59691,60010
"Cayuga County, New York",62636,62452,62241,62031,61814,61519
"Chautauqua County, New York",104194,103692,102908,102176,101594,101801
"Chemung County, New York",68521,67937,67080,66568,66125,66367
"Chenango County, New York",38758,38444,38207,37958,37672,37498
"Clinton County, New York",66595,66427,66259,66055,65901,65613
"Columbia County, New York",50379,50226,49954,49720,49646,51054
"Cortland County, New York",39107,38848,38687,38698,38620,37940
"Delaware County, New York",38049,37873,37648,37309,37200,37225
"Dutchess County, New York",236140,237200,236843,237558,238173,240280
"Erie County, New York",730797,733491,731323,731783,732321,755981
"Essex County, New York",31972,31778,31426,31305,31286,31459
"Franklin County, New York",40908,41042,40780,40417,40641,38711
"Fulton County, New York",43057,42864,42766,42710,42655,42677
"Genesee County, New York",46736,46378,46178,46051,45883,46383
"Greene County, New York",39699,39619,39560,39515,39528,40134
"Hamilton County, New York",3957,3990,3942,3890,3854,4359
"Herkimer County, New York",50094,49672,49444,49187,49028,48025
"Jefferson County, New York",88766,88059,86671,85560,84644,89102
"Kings County, New York",1998483,2026306,2000988,1995328,1988490,2090262
"Lewis County, New York",20775,20596,20527,20445,20397,20476
"Livingston County, New York",52541,52529,52311,52201,52018,51168
"Madison County, New York",57487,57420,57437,57390,57393,55427
"Monroe County, New York",588262,589166,586875,587409,588399,599304
"Montgomery County, New York",38335,38174,38141,37996,37985,38065
"Nassau County, New York",1056386,1064565,1061459,1062767,1063147,1089583
"New York County, New York",1395634,1414226,1396709,1397057,1395914,1427229
"Niagara County, New York",169680,169434,168858,168296,168042,169926
"Oneida County, New York",183144,182823,181700,181034,180398,182310
"Onondaga County, New York",365481,366040,364192,363789,363238,373142
"Ontario County, New York",86498,86707,86907,87192,87686,89564
"Orange County, New York",278392,280631,281128,282793,284548,295794
"Orleans County, New York",33449,33239,33010,32850,32773,32779
"Oswego County, New York",94319,94109,93675,93217,92818,93113
"Otsego County, New York",50705,50668,50366,50269,50095,49530
"Putnam County, New York",78101,78709,78759,78919,79123,78563
"Queens County, New York",1837133,1865585,1833055,1825065,1813689,1908997
"Rensselaer County, New York",127514,127721,127708,128104,127955,129637
"Richmond County, New York",367496,370626,369598,370655,371615,384860
"Rockland County, New York",233260,235029,233621,233530,233310,239574
"St. Lawrence County, New York",88597,88107,87140,86740,86587,86781
"Saratoga County, New York",177139,179184,180408,182013,183542,188199
"Schenectady County, New York",120867,121478,121408,121385,121557,123184
"Schoharie County, New York",25713,25874,25709,25679,25671,24595
"Schuyler County, New York",14706,14515,14477,14470,14439,14485
"Seneca County, New York",27945,27842,27697,27511,27437,27088
"Steuben County, New York",76253,75959,75719,75516,75147,73708
"Suffolk County, New York",1163679,1168181,1164993,1165619,1167618,1200757
"Sullivan County, New York",59457,59564,59179,59174,59317,61525
"Tioga County, New York",38737,38632,38550,38415,38336,38426
"Tompkins County, New York",88290,88572,87600,87374,87168,90447
"Ulster County, New York",146907,147155,146883,146740,146833,149731
"Warren County, New York",52570,52553,52524,52468,52547,53753
"Washington County, New York",50136,50016,49918,49880,49769,49909
"Wayne County, New York",71493,71400,71151,71029,70804,71710
"Westchester County, New York",746857,754447,751715,753789,755830,780097
"Wyoming County, New York",33097,32755,32501,32289,32424,32522
"Yates County, New York",19345,19442,19359,19456,19356,19165
"Alamance County, North Carolina",120689,121903,124373,126786,129267,131430
"Alexander County, North Carolina",29216,29469,29501,29645,29753,29101
"Alleghany County, North Carolina",8881,8987,9030,9090,9179,9046
"Anson County, North Carolina",20617,20435,20370,20071,19554,17767
"Ashe County, North Carolina",21998,21898,21893,22007,22246,21973
"Avery County, North Carolina",14872,14835,14794,14926,14988,15165
"Beaufort County, North Carolina",37420,37409,37484,37560,37691,35906
"Bertie County, North Carolina",16646,16285,16136,15986,15832,14995
"Bladen County, North Carolina",26938,26800,26653,26416,26360,23883
"Brunswick County, North Carolina",98692,102007,106239,111188,116354,113736
"Buncombe County, North Carolina",201651,203908,206161,208730,211538,217664
"Burke County, North Carolina",71177,71350,72310,72924,73295,71462
"Cabarrus County, North Carolina",141685,145237,149062,153305,157416,164492
"Caldwell County, North Carolina",64444,64821,64909,65194,65424,64341
"Camden County, North Carolina",7799,7895,7956,8158,8234,7959
"Carteret County, North Carolina",55891,56175,56506,56799,57195,56055
"Caswell County, North Carolina",18695,18500,18435,18415,18399,18540
"Catawba County, North Carolina",119798,120542,121372,122363,123393,124397
"Chatham County, North Carolina",54832,54247,55441,56749,58180,60064
"Cherokee County, North Carolina",22356,22631,22897,23224,23773,23842
"Chowan County, North Carolina",11497,11352,11204,11185,11196,10951
"Clay County, North Carolina",8797,8820,8924,9030,9284,9144
"Cleveland County, North Carolina",75456,75522,75707,75870,76282,76849
"Columbus County, North Carolina",44369,44150,44114,44107,43978,40676
"Craven County, North Carolina",80717,80262,80314,80154,80163,79374
"Cumberland County, North Carolina",241707,249664,249586,250553,251780,250100
"Currituck County, North Carolina",19340,19647,20054,20526,21165,21456
"Dare County, North Carolina",28295,28553,28832,29241,29798,29855
"Davidson County, North Carolina",126732,127054,127834,128727,130108,130971
"Davie County, North Carolina",32370,32675,32953,33242,33522,33460
"Duplin County, North Carolina",44455,44719,44674,44648,44800,37836
"Durham County, North Carolina",230031,235723,240820,246027,251637,254106
"Edgecombe County, North Carolina",41903,41538,41130,40636,40321,38300
"Forsyth County, North Carolina",278180,281667,284778,288157,291308,292736
"Franklin County, North Carolina",48553,49345,50328,51646,53070,52684
"Gaston County, North Carolina",162702,164765,167116,169463,171972,174829
"Gates County, North Carolina",9146,9167,9165,9187,9195,8487
"Graham County, North Carolina",6810,6789,6802,6760,6798,6470
"Granville County, North Carolina",45835,46205,46602,47027,47522,48322
"Greene County, North Carolina",16636,16555,16620,16720,16736,16372
"Guilford County, North Carolina",395364,400197,405752,409724,414354,416850
"Halifax County, North Carolina",41309,40970,40562,40179,39849,38658
"Harnett County, North Carolina",92238,94014,95596,97382,99325,98461
"Haywood County, North Carolina",48574,48854,49364,49904,50658,50446
"Henderson County, North Carolina",89066,90252,91623,92852,94189,93716
"Hertford County, North Carolina",19525,19580,19521,19449,19297,17890
"Hoke County, North Carolina",36904,37708,38389,39046,39667,37893
"Hyde County, North Carolina",4607,4370,4228,4122,4007,3741
"Iredell County, North Carolina",127374,129565,132085,134877,137800,141679
"Jackson County, North Carolina",34090,34528,35093,35728,36197,35711
"Johnston County, North Carolina",133879,137420,141466,146366,151529,157581
"Jones County, North Carolina",8157,7870,7852,7781,7690,7570
"Lee County, North Carolina",44503,44784,45255,45730,46332,47509
"Lenoir County, North Carolina",45033,44852,44310,43975,43590,42734
"Lincoln County, North Carolina",62149,62968,63879,65155,66719,67542
"McDowell County, North Carolina",35536,35708,35833,35969,36315,35560
"Macon County, North Carolina",27543,27748,28022,28419,28871,29946
"Madison County, North Carolina",17242,17453,17523,17575,17747,17402
"Martin County, North Carolina",18595,18379,18279,18161,18022,17641
"Mecklenburg County, North Carolina",763137,782540,800249,818217,837431,842749
"Mitchell County, North Carolina",12441,12363,12272,12194,12215,12195
"Montgomery County, North Carolina",21097,21134,21113,21150,21297,20216
"Moore County, North Carolina",73249,74109,75267,76527,78083,77236
"Nash County, North Carolina",72900,72842,72984,73148,73607,73700
"New Hanover County, North Carolina",174523,177607,181838,185263,188738,183676
"Northampton County, North Carolina",16736,16662,16559,16409,16222,14762
"Onslow County, North Carolina",138531,145523,146557,147439,150254,152443
"Orange County, North Carolina",111302,113240,114412,116319,117853,118761
"Pamlico County, North Carolina",10777,10756,10771,10772,10774,10447
"Pasquotank County, North Carolina",31130,30811,30704,30703,31005,31355
"Pender County, North Carolina",43707,44727,45795,46925,48128,46542
"Perquimans County, North Carolina",10745,10864,10880,10892,10960,10538
"Person County, North Carolina",30609,30728,30940,31010,31273,30846
"Pitt County, North Carolina",136542,137951,138887,140020,141543,133966
"Polk County, North Carolina",16792,16949,17030,17183,17327,16264
"Randolph County, North Carolina",108980,109483,109961,110427,111048,111225
"Richmond County, North Carolina",34961,34861,34731,34740,34599,33125
"Robeson County, North Carolina",99651,99841,99539,99191,98729,88866
"Rockingham County, North Carolina",72583,72539,72449,72421,72571,72381
"Rowan County, North Carolina",107212,107465,108141,108856,109558,113238
"Rutherford County, North Carolina",52504,52499,52555,52805,53070,51365
"Sampson County, North Carolina",47895,47868,47901,47829,47794,44800
"Scotland County, North Carolina",27320,27191,27152,27030,26983,26430
"Stanly County, North Carolina",47330,47612,47837,48199,48586,48586
"Stokes County, North Carolina",37093,36962,36985,36967,37088,36172
"Surry County, North Carolina",56627,56482,56496,56577,56627,56168
"Swain County, North Carolina",10942,11012,11058,10974,10976,10887
"Transylvania County, North Carolina",27581,27874,28140,28369,28707,27765
"Tyrrell County, North Carolina",3411,3509,3589,3525,3441,2935
"Union County, North Carolina",155669,159770,163954,168085,172449,172748
"Vance County, North Carolina",33774,33756,33881,33865,34036,32425
"Wake County, North Carolina",749022,771121,790704,810604,830760,847803
"Warren County, North Carolina",16469,16434,16342,16254,16176,15449
"Washington County, North Carolina",9756,9757,9677,9504,9414,8904
"Watauga County, North Carolina",45813,46437,47051,47773,48506,47156
"Wayne County, North Carolina",94433,94779,94393,94191,94408,89535
"Wilkes County, North Carolina",54184,54064,54205,54375,54398,52793
"Wilson County, North Carolina",62322,62173,62323,62603,62830,60582
"Yadkin County, North Carolina",29520,29598,29604,29632,29716,29388
"Yancey County, North Carolina",14216,14263,14371,14459,14587,14959
"Adams County, North Dakota",1869,1892,1849,1798,1748,1722
"Barnes County, North Dakota",8776,8790,8751,8682,8510,8696
"Benson County, North Dakota",4485,4523,4506,4485,4524,3886
"Billings County, North Dakota",765,770,727,725,686,647
"Bottineau County, North Dakota",5289,5279,5223,5122,5041,5025
"Bowman County, North Dakota",2455,2458,2410,2378,2330,2276
"Burke County, North Dakota",1690,1646,1544,1587,1612,1612
"Burleigh County, North Dakota",69923,71171,72094,72819,73285,74723
"Cass County, North Dakota",129964,132840,135349,137360,139642,141510
"Cavalier County, North Dakota",3088,3028,3014,2990,2998,2906
"Dickey County, North Dakota",4010,3942,3826,3782,3708,3790
"Divide County, North Dakota",1900,1936,1972,1874,1792,1691
"Dunn County, North Dakota",3294,3372,3328,3342,3304,3117
"Eddy County, North Dakota",1828,1779,1803,1806,1760,1845
"Emmons County, North Dakota",2674,2728,2703,2678,2621,2680
"Foster County, North Dakota",2629,2622,2568,2563,2528,2623
"Golden Valley County, North Dakota",1400,1416,1453,1435,1434,1435
"Grand Forks County, North Dakota",55594,55782,55849,55640,55527,57475
"Grant County, North Dakota",1939,1911,1899,1866,1808,1835
"Griggs County, North Dakota",1881,1829,1828,1899,1857,1780
"Hettinger County, North Dakota",2087,2049,2033,2029,2035,1989
"Kidder County, North Dakota",1995,1943,1949,1938,1912,1792
"LaMoure County, North Dakota",3237,3203,3246,3254,3256,3203
"Logan County, North Dakota",1564,1571,1555,1492,1409,1435
"McHenry County, North Dakota",4531,4551,4519,4481,4442,4131
"McIntosh County, North Dakota",2244,2214,2188,2146,2100,2103
"McKenzie County, North Dakota",7557,8286,8718,9122,9386,9302
"McLean County, North Dakota",7527,7608,7544,7519,7470,7609
"Mercer County, North Dakota",6752,6729,6637,6551,6477,6448
"Morton County, North Dakota",23040,23386,23714,24156,24053,25290
"Mountrail County, North Dakota",7101,7405,7471,7532,7489,6926
"Nelson County, North Dakota",2487,2437,2386,2363,2357,2416
"Oliver County, North Dakota",1381,1426,1396,1357,1466,1385
"Pembina County, North Dakota",5647,5588,5558,5510,5427,5421
"Pierce County, North Dakota",3514,3393,3318,3246,3156,3120
"Ramsey County, North Dakota",8955,8919,8855,8891,8815,8844
"Ransom County, North Dakota",4225,4172,4202,4214,4157,4375
"Renville County, North Dakota",1918,1917,1912,1836,1804,1726
"Richland County, North Dakota",12843,12846,12826,12767,12695,12845
"Rolette County, North Dakota",9658,9714,9653,9606,9529,8214
"Sargent County, North Dakota",3112,3116,3124,3108,3141,3031
"Sheridan County, North Dakota",1154,1180,1177,1178,1084,1110
"Sioux County, North Dakota",2769,2763,2814,2801,2825,2522
"Slope County, North Dakota",524,530,553,594,613,618
"Stark County, North Dakota",22537,22764,23066,23040,22854,23756
"Steele County, North Dakota",1578,1531,1527,1402,1410,1446
"Stutsman County, North Dakota",16833,16819,16810,16769,16663,17218
"Towner County, North Dakota",1705,1714,1734,1727,1731,1711
"Traill County, North Dakota",6264,6260,6195,6227,6212,6172
"Walsh County, North Dakota",8512,8450,8345,8299,8200,8158
"Ward County, North Dakota",52860,53427,52772,52534,52718,53047
"Wells County, North Dakota",3394,3295,3219,3125,3098,3151
"Williams County, North Dakota",23487,24185,24771,25328,25666,27098
"Adams County, Ohio",21213,21126,21028,21085,21055,20894
"Allen County, Ohio",80205,79859,79525,79244,79044,78607
"Ashland County, Ohio",41090,41069,41308,41384,41524,40763
"Ashtabula County, Ohio",76749,76472,76225,76153,75900,76108
"Athens County, Ohio",55179,55724,56132,56231,56370,53760
"Auglaize County, Ohio",34710,34608,34659,34668,34685,35037
"Belmont County, Ohio",56034,55672,55431,55129,54724,54321
"Brown County, Ohio",33808,33618,33585,33558,33585,33622
"Butler County, Ohio",283259,285451,288150,290232,292442,296271
"Carroll County, Ohio",22118,21973,21815,21625,21603,21322
"Champaign County, Ohio",30048,30056,30081,30124,30191,30052
"Clark County, Ohio",104990,104591,104485,104308,104197,105252
"Clermont County, Ohio",152301,153834,155262,156677,158255,159866
"Clinton County, Ohio",31803,31916,32037,32158,32294,32305
"Columbiana County, Ohio",83188,82830,82482,82003,81695,81373
"Coshocton County, Ohio",27983,27960,27941,27962,27993,27911
"Crawford County, Ohio",33065,32909,32802,32679,32524,32717
"Cuyahoga County, Ohio",987211,989610,989091,986297,983768,1000135
"Darke County, Ohio",39472,39356,39314,39209,39202,39395
"Defiance County, Ohio",29421,29349,29379,29366,29313,29494
"Delaware County, Ohio",136760,140179,143776,147438,151376,155942
"Erie County, Ohio",59958,59728,59672,59482,59288,60081
"Fairfield County, Ohio",113313,114575,115862,117231,118733,119534
"Fayette County, Ohio",21861,21795,21796,21851,21864,22026
"Franklin County, Ohio",940493,958413,976261,988680,1000779,1005778
"Fulton County, Ohio",32022,31978,32174,32215,32237,32602
"Gallia County, Ohio",23213,23215,23279,23167,23104,22576
"Geauga County, Ohio",71308,71562,71888,72110,72217,73525
"Greene County, Ohio",130115,130626,131569,132135,133283,132303
"Guernsey County, Ohio",30395,30499,30499,30429,30410,30015
"Hamilton County, Ohio",618235,621077,624058,625690,628296,635504
"Hancock County, Ohio",58477,58507,58690,58900,58959,58377
"Hardin County, Ohio",24326,24207,24171,24147,24346,23829
"Harrison County, Ohio",12250,12150,12085,12014,11981,11514
"Henry County, Ohio",21246,20925,20876,20812,20772,21122
"Highland County, Ohio",32680,32656,32570,32708,32799,32772
"Hocking County, Ohio",22075,22072,22129,22118,22143,22001
"Holmes County, Ohio",29285,29458,29732,29963,30223,30431
"Huron County, Ohio",44092,44080,44180,44148,44252,44417
"Jackson County, Ohio",24815,24815,24641,24621,24761,24758
"Jefferson County, Ohio",54389,54220,53927,53539,53279,52755
"Knox County, Ohio",46761,46879,47187,47450,47700,48030
"Lake County, Ohio",181203,182013,182808,183390,183739,185686
"Lawrence County, Ohio",47567,47402,47157,46962,46714,45654
"Licking County, Ohio",129442,130471,131925,133301,134780,136147
"Logan County, Ohio",34469,34512,34617,34716,34840,35353
"Lorain County, Ohio",234643,236268,237914,239317,241107,242827
"Lucas County, Ohio",333711,332916,332374,331608,331291,331142
"Madison County, Ohio",34298,34579,34839,35062,35196,34920
"Mahoning County, Ohio",185090,184554,184212,183567,182507,182538
"Marion County, Ohio",51814,51733,51625,51552,51458,51584
"Medina County, Ohio",134211,135346,136601,137718,139127,141014
"Meigs County, Ohio",18223,18157,18134,18096,17840,17307
"Mercer County, Ohio",30412,30245,30324,30361,30482,31200
"Miami County, Ohio",79797,80013,80496,80975,81605,82794
"Monroe County, Ohio",11430,11235,11147,11023,10978,10727
"Montgomery County, Ohio",413179,412888,413354,413674,414241,416587
"Morgan County, Ohio",11583,11566,11555,11547,11517,10998
"Morrow County, Ohio",26358,26345,26647,26908,27188,27052
"Muskingum County, Ohio",65988,66120,66249,66413,66499,66648
"Noble County, Ohio",11747,11835,11785,11750,11726,11503
"Ottawa County, Ohio",33000,32885,32937,33008,33063,32975
"Paulding County, Ohio",14504,14421,14397,14351,14330,14346
"Perry County, Ohio",27200,27360,27416,27492,27582,27133
"Pickaway County, Ohio",44144,44517,44881,45246,45637,45870
"Pike County, Ohio",21442,21648,21588,21499,21347,20802
"Portage County, Ohio",130351,130818,131658,131817,132167,131636
"Preble County, Ohio",31918,31807,31782,31816,31799,31806
"Putnam County, Ohio",25355,25384,25295,25255,25188,25541
"Richland County, Ohio",95287,95051,94959,94838,94772,97214
"Ross County, Ohio",60373,60371,60423,60407,60485,60718
"Sandusky County, Ohio",45992,45802,45716,45635,45515,45864
"Scioto County, Ohio",60313,59994,59671,59450,59052,58110
"Seneca County, Ohio",43177,43150,43191,43163,43200,43019
"Shelby County, Ohio",36256,36346,36439,36493,36497,36222
"Stark County, Ohio",292253,292441,292310,291983,291687,293541
"Summit County, Ohio",423955,425075,426477,427089,427374,426603
"Trumbull County, Ohio",161828,160911,159890,159039,158302,160351
"Tuscarawas County, Ohio",71312,71170,71228,71235,70985,71482
"Union County, Ohio",40180,40847,41782,42718,43566,46466
"Van Wert County, Ohio",21758,21616,21641,21641,21607,22018
"Vinton County, Ohio",10103,10162,10169,10124,10138,9997
"Warren County, Ohio",164642,166428,169152,171943,175277,180707
"Washington County, Ohio",48988,48778,48678,48538,48363,47993
"Wayne County, Ohio",87209,87423,87759,87784,87800,88289
"Williams County, Ohio",28738,28566,28468,28457,28391,28599
"Wood County, Ohio",102633,102837,103264,103559,104107,104934
"Wyandot County, Ohio",17089,16983,17023,16927,17055,16920
"Adair County, Oklahoma",16219,16285,16274,16220,16205,14480
"Alfalfa County, Oklahoma",4656,4706,4686,4724,4644,4581
"Atoka County, Oklahoma",10675,10767,10736,10720,10743,10906
